Gene_name	strand	N	mean_count	sd_count	z	pval	qval
1	PPIE	+	13	3	3.39116499156263	2.94883912309794	0.00159484985310844	0.00806369881307696
2	ZRANB2	+	4	1	1	3	0.00134989803163009	0.00806369881307696
